id,photo_id,aspect_ratio,algorithm,timer
1x1_10594271873_611e07a39d_c_SCJS.jpg,10594271873_611e07a39d_c.jpg,1x1,SCJS,0.051065308999999996
1x1_13218800635_d1bf8dae11_c_SCJS.jpg,13218800635_d1bf8dae11_c.jpg,1x1,SCJS,0.033453663999999994
1x1_1636053650_4527b0585d_o_SCJS.jpg,1636053650_4527b0585d_o.jpg,1x1,SCJS,0.032287413
1x1_16493328124_5facf01cba_c_SCJS.jpg,16493328124_5facf01cba_c.jpg,1x1,SCJS,0.023649839
1x1_17107351976_7ca3d58d0c_c_SCJS.jpg,17107351976_7ca3d58d0c_c.jpg,1x1,SCJS,0.02267201
1x1_18030243279_5e1d9c14cc_c_SCJS.jpg,18030243279_5e1d9c14cc_c.jpg,1x1,SCJS,0.03141616
1x1_18421963655_2727ba7430_c_SCJS.jpg,18421963655_2727ba7430_c.jpg,1x1,SCJS,0.018862185
1x1_19538819028_1797fb1da6_c_SCJS.jpg,19538819028_1797fb1da6_c.jpg,1x1,SCJS,0.020661061999999997
1x1_2794729330_69101390e5_b_SCJS.jpg,2794729330_69101390e5_b.jpg,1x1,SCJS,0.045084736
1x1_4192603791_ef6a86762b_b_SCJS.jpg,4192603791_ef6a86762b_b.jpg,1x1,SCJS,0.049678399
1x1_521658559_37f2907db4_b_SCJS.jpg,521658559_37f2907db4_b.jpg,1x1,SCJS,0.041453280999999995
1x1_5244375725_31bd21d487_b_SCJS.jpg,5244375725_31bd21d487_b.jpg,1x1,SCJS,0.047631634
1x1_6060249948_51746b754f_b_SCJS.jpg,6060249948_51746b754f_b.jpg,1x1,SCJS,0.049271327999999996
1x1_8328219972_f44dd01091_c_SCJS.jpg,8328219972_f44dd01091_c.jpg,1x1,SCJS,0.023276989999999997
1x1_8698896427_3dc7d59b02_c_SCJS.jpg,8698896427_3dc7d59b02_c.jpg,1x1,SCJS,0.019415743
9x16_10594271873_611e07a39d_c_SCJS.jpg,10594271873_611e07a39d_c.jpg,9x16,SCJS,0.07324566899999999
9x16_13218800635_d1bf8dae11_c_SCJS.jpg,13218800635_d1bf8dae11_c.jpg,9x16,SCJS,0.056396752999999994
9x16_1636053650_4527b0585d_o_SCJS.jpg,1636053650_4527b0585d_o.jpg,9x16,SCJS,0.063656572
9x16_16493328124_5facf01cba_c_SCJS.jpg,16493328124_5facf01cba_c.jpg,9x16,SCJS,0.047859749
9x16_17107351976_7ca3d58d0c_c_SCJS.jpg,17107351976_7ca3d58d0c_c.jpg,9x16,SCJS,0.046578772
